SHid, Price_per_share, Number_of_shares, Date_Acquired, Ticker
1, 294.74, 10,2022-10-13,ADBE
1, 57.33, 25,2022-10-19,AMD
1, 282.76, 100,2022-09-29,TSLA
2, 118, 15,2022-10-12,IBM
2, 100, 50,2022-10-20,GOOGL
3, 205.82, 1000,2022-10-24,TSLA
3, 87.18, 300,2022-10-10,CVS
3, 65.3, 100,2022-10-14,BBY
4, 114.1, 50,2022-10-14,AMZN
5, 308.43, 40,2022-10-24,ADBE
5, 57.47, 70,2022-10-20,AMD
5, 96.43, 30,2022-09-30,CVS
5, 102.9, 65,2022-10-25,GOOGL
5, 135.55, 45,2022-10-27,IBM
6, 205.82, 100,2022-10-24,TSLA
7, 279.71, 5,2022-10-13,ADBE
7, 116, 10,2022-10-26,AMZN
7, 91.7, 15,2022-10-18,CVS
7, 233.94, 70,2022-10-07,TSLA
8, 220.95, 10,2022-10-11,TSLA
9, 206.42, 50,2022-10-21,TSLA
9, 96.43, 20,2022-09-30,CVS
10, 64.24, 50,2022-10-25,BBY
10, 118, 60,2022-10-07,AMZN


































